transaction_id,sender_id,receiver_id,amount,hour,fraud_flag
0,user_549,user_152,893.2,12,0
1,user_1910,user_1360,750.37,5,0
2,user_328,user_1607,859.73,6,0
3,user_1841,user_180,791.96,16,0
4,user_701,user_453,1107.5,17,0
5,user_222,user_513,1945.25,20,0
6,user_1832,user_1567,168.5,1,0
7,user_558,user_1086,427.23,18,0
8,user_535,user_249,1695.66,18,0
9,user_1991,user_851,2150.96,10,0
10,user_931,user_1312,670.61,4,0
11,user_1687,user_1750,2094.07,19,0
12,user_806,user_1341,3256.57,15,0
13,user_1127,user_151,449.69,20,0
14,user_1129,user_126,3305.52,17,0
15,user_501,user_121,1353.39,23,0
16,user_1254,user_326,337.28,20,0
17,user_1056,user_1420,678.43,10,0
18,user_1897,user_998,2623.2,22,0
19,user_799,user_181,3251.38,11,0
20,user_947,user_1731,1683.65,17,0
21,user_1388,user_1748,631.37,17,0
22,user_982,user_1151,1092.05,22,0
23,user_92,user_1134,190.87,20,0
24,user_851,user_1128,1531.26,9,0
25,user_319,user_1888,1836.69,19,0
26,user_1987,user_1936,199.64,19,0
27,user_48,user_929,1904.64,19,0
28,user_1906,user_403,198.47,2,0
29,user_90,user_1515,721.97,4,0
30,user_115,user_987,990.33,16,0
31,user_128,user_173,693.53,3,0
32,user_349,user_1191,628.29,11,0
33,user_159,user_1630,1313.06,16,0
34,user_1926,user_273,2548.54,23,0
35,user_666,user_816,946.38,3,0
36,user_106,user_12,104.7,13,0
37,user_321,user_1636,716.31,4,0
38,user_1802,user_1719,303.86,13,0
39,user_406,user_1721,16.9,11,0
40,user_1730,user_331,1785.75,13,0
41,user_545,user_891,490.08,17,0
42,user_71,user_981,2344.74,17,0
43,user_903,user_437,943.5,20,0
44,user_1796,user_435,475.24,3,0
45,user_1045,user_711,1420.17,20,0
46,user_794,user_617,1029.98,2,0
47,user_1746,user_333,2739.18,23,0
48,user_1963,user_1979,1254.59,14,0
49,user_1576,user_1856,2636.52,1,0
50,user_1266,user_609,204.67,21,0
51,user_1669,user_1814,5405.91,8,0
52,user_34,user_403,705.09,4,0
53,user_685,user_242,11.23,22,0
54,user_1460,user_768,2738.03,11,0
